distribution,model,hamiltonian_error_clean,step_size
gaussian,HMC,0.04319393,0.3
gaussian,HMC,0.11699603,0.3
gaussian,HMC,0.13004622,0.3
gaussian,HMC,0.08006863000000002,0.3
gaussian,HMC,0.03279971,0.3
gaussian,NNgHMC,0.0435973,0.3
gaussian,NNgHMC,0.1205183,0.3
gaussian,NNgHMC,0.1413719,0.3
gaussian,NNgHMC,0.09760914,0.3
gaussian,NNgHMC,0.04452161,0.3
gaussian,Explicit NNODEgHMC,0.0025932400000000006,0.3
gaussian,Explicit NNODEgHMC,0.09794995,0.3
gaussian,Explicit NNODEgHMC,0.3663919,0.3
gaussian,Explicit NNODEgHMC,0.77090454,0.3
gaussian,Explicit NNODEgHMC,1.2259446,0.3
gaussian,NNODEgHMC,0.0025932400000000006,0.3
gaussian,NNODEgHMC,0.07161717,0.3
gaussian,NNODEgHMC,0.16121884,0.3
gaussian,NNODEgHMC,0.14041208,0.3
gaussian,NNODEgHMC,0.06993097,0.3
high_dimensional_gaussian,HMC,0.00074333,0.1
high_dimensional_gaussian,HMC,0.0013484,0.1
high_dimensional_gaussian,HMC,0.00161001,0.1
high_dimensional_gaussian,HMC,0.00254494,0.1
high_dimensional_gaussian,HMC,0.00144512,0.1
high_dimensional_gaussian,NNgHMC,0.00087399,0.1
high_dimensional_gaussian,NNgHMC,0.002249,0.1
high_dimensional_gaussian,NNgHMC,0.00369477,0.1
high_dimensional_gaussian,NNgHMC,0.00620933,0.1
high_dimensional_gaussian,NNgHMC,0.0070179,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00073616,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.00825178,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.03383539,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.08195277,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.14950645,0.1
high_dimensional_gaussian,NNODEgHMC,0.00073616,0.1
high_dimensional_gaussian,NNODEgHMC,0.00142428,0.1
high_dimensional_gaussian,NNODEgHMC,0.00285362,0.1
high_dimensional_gaussian,NNODEgHMC,0.00597165,0.1
high_dimensional_gaussian,NNODEgHMC,0.00788766,0.1
normal_normal,HMC,0.10056665999999999,0.1
normal_normal,HMC,0.09054027,0.1
normal_normal,HMC,0.22147483,0.1
normal_normal,HMC,0.08703142,0.1
normal_normal,HMC,0.3333265,0.1
normal_normal,NNgHMC,0.10061984,0.1
normal_normal,NNgHMC,0.08472238,0.1
normal_normal,NNgHMC,0.253178,0.1
normal_normal,NNgHMC,0.11450166,0.1
normal_normal,NNgHMC,0.40291473,0.1
normal_normal,Explicit NNODEgHMC,0.10388813,0.1
normal_normal,Explicit NNODEgHMC,0.09872252,0.1
normal_normal,Explicit NNODEgHMC,0.20856182,0.1
normal_normal,Explicit NNODEgHMC,0.13079286,0.1
normal_normal,Explicit NNODEgHMC,0.5803445,0.1
normal_normal,NNODEgHMC,0.10388813,0.1
normal_normal,NNODEgHMC,0.09908352,0.1
normal_normal,NNODEgHMC,0.21204029999999996,0.1
normal_normal,NNODEgHMC,0.10042779,0.1
normal_normal,NNODEgHMC,0.40744752000000006,0.1
gaussian,HMC,0.03652491,0.3
gaussian,HMC,0.10972732,0.3
gaussian,HMC,0.12194236,0.3
gaussian,HMC,0.06881451,0.3
gaussian,HMC,0.021929220000000003,0.3
gaussian,NNgHMC,0.03639518,0.3
gaussian,NNgHMC,0.10892104,0.3
gaussian,NNgHMC,0.12293008999999999,0.3
gaussian,NNgHMC,0.07246531,0.3
gaussian,NNgHMC,0.02336768,0.3
gaussian,Explicit NNODEgHMC,0.00262296,0.3
gaussian,Explicit NNODEgHMC,0.08548611,0.3
gaussian,Explicit NNODEgHMC,0.3349964,0.3
gaussian,Explicit NNODEgHMC,0.68581426,0.3
gaussian,Explicit NNODEgHMC,1.014657,0.3
gaussian,NNODEgHMC,0.00262296,0.3
gaussian,NNODEgHMC,0.06332187,0.3
gaussian,NNODEgHMC,0.14573109,0.3
gaussian,NNODEgHMC,0.11279809,0.3
gaussian,NNODEgHMC,0.04336087,0.3
high_dimensional_gaussian,HMC,0.0009365200000000001,0.1
high_dimensional_gaussian,HMC,0.00185631,0.1
high_dimensional_gaussian,HMC,0.00225374,0.1
high_dimensional_gaussian,HMC,0.0031817099999999995,0.1
high_dimensional_gaussian,HMC,0.00192697,0.1
high_dimensional_gaussian,NNgHMC,0.00103987,0.1
high_dimensional_gaussian,NNgHMC,0.00242046,0.1
high_dimensional_gaussian,NNgHMC,0.00351077,0.1
high_dimensional_gaussian,NNgHMC,0.00538362,0.1
high_dimensional_gaussian,NNgHMC,0.00529816,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.0007326,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.0079102,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.03165677,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.075943,0.1
high_dimensional_gaussian,Explicit NNODEgHMC,0.1377539,0.1
high_dimensional_gaussian,NNODEgHMC,0.0007326,0.1
high_dimensional_gaussian,NNODEgHMC,0.00165582,0.1
high_dimensional_gaussian,NNODEgHMC,0.00292563,0.1
high_dimensional_gaussian,NNODEgHMC,0.00543187,0.1
high_dimensional_gaussian,NNODEgHMC,0.006355409999999999,0.1
normal_normal,HMC,0.07559716,0.1
normal_normal,HMC,0.07067794,0.1
normal_normal,HMC,0.15785141,0.1
normal_normal,HMC,0.09859576,0.1
normal_normal,HMC,0.08431762,0.1
normal_normal,NNgHMC,0.07203713,0.1
normal_normal,NNgHMC,0.06363214,0.1
normal_normal,NNgHMC,0.20278665,0.1
normal_normal,NNgHMC,0.06198502,0.1
normal_normal,NNgHMC,0.14655547,0.1
normal_normal,Explicit NNODEgHMC,0.08669792,0.1
normal_normal,Explicit NNODEgHMC,0.06941677,0.1
normal_normal,Explicit NNODEgHMC,0.30026957,0.1
normal_normal,Explicit NNODEgHMC,0.32636246,0.1
normal_normal,Explicit NNODEgHMC,0.8889146000000001,0.1
normal_normal,NNODEgHMC,0.08669792,0.1
normal_normal,NNODEgHMC,0.07023734,0.1
normal_normal,NNODEgHMC,0.19005087,0.1
normal_normal,NNODEgHMC,0.06168887,0.1
normal_normal,NNODEgHMC,0.13530001,0.1
gaussian,HMC,0.02763041,0.3
gaussian,HMC,0.09658889,0.3
gaussian,HMC,0.11372932999999999,0.3
gaussian,HMC,0.06056394,0.3
gaussian,HMC,0.0037947699999999994,0.3
gaussian,NNgHMC,0.02768797,0.3
gaussian,NNgHMC,0.09720909,0.3
gaussian,NNgHMC,0.117211,0.3
gaussian,NNgHMC,0.06850258,0.3
gaussian,NNgHMC,0.00438975,0.3
gaussian,Explicit NNODEgHMC,0.0025522,0.3
gaussian,Explicit NNODEgHMC,0.07571608,0.3
gaussian,Explicit NNODEgHMC,0.32075503,0.3
gaussian,Explicit NNODEgHMC,0.7133876,0.3
gaussian,Explicit NNODEgHMC,1.1881758,0.3
gaussian,NNODEgHMC,0.0025522,0.3
gaussian,NNODEgHMC,0.05277448,0.3
gaussian,NNODEgHMC,0.13827622,0.3
gaussian,NNODEgHMC,0.1127257,0.3
gaussian,NNODEgHMC,0.02622023,0.3
high_dimensional_gaussian,HMC,0.00123404,0.1
high_dimensional_gaussian,HMC,0.00168473,0.1
high_dimensional_gaussian,HMC,0.00249389,0.1
high_dimensional_gaussian,HMC,0.0024554,0.1
high_dimensional_gaussian,HMC,0.00418624,0.1
high_dimensional_gaussian,NNgHMC,0.00116379,0.1
high_dimensional_gaussian,NNgHMC,0.00138287,0.1
high_dimensional_gaussian,NNgHMC,0.00175415,0.1
high_dimensional_gaussian,NNgHMC,0.00122153,0.1
high_dimensional_gaussian,NNgHMC,0.00211475,0.1
